Class,Ln,Field Label,From,To,Size,Type,Description (Remarks)
"564, 575, 586, 597, 608, 619,",,Non-Covered Charge of Service,1695,1704,10,NUM,Non-covered Charge
"630, 641, 652, 663, 674, 685,",,Service From Date,1705,1710,6,A/N,Service From Date
"696, 707, 718, 729, 740, 751,",,Filler,1711,1712,2,A/N,
"762, 773, 784, 795, 806, 817,",,Pre-visit Procedure Indicator,1713,1713,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"828, 838, 850, 861, 872, 883,",R,Line item number,1714,1716,3,A/N,Line item number
"894, 905, 916, 927, 938, 949,",,Visit ID,1717,1719,3,A/N,Visit ID
"960, 971, 982, 993",,Lines in Visit,1720,1722,3,A/N,Lines in Visit
,,Visit Date,1723,1728,6,A/N,Visit Date
,,Filler,1729,1730,2,A/N,
,,Visit Processed Flag,1731,1731,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,1732,1741,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,1742,1743,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,1744,1750,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,1751,1755,5,A/N,Final APG Assignment
,,Final APG Type,1756,1757,2,A/N,Final APG Type
,,Final APG Category,1758,1759,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,1760,1760,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,1761,1761,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,1762,1762,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,1763,1763,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,1764,1765,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,1766,1766,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,1767,1767,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,1768,1768,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,1769,1769,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,1770,1771,2,A/N,Line Item Action Flag
,Y,Item ID number,1772,1774,3,A/N,Item ID number
,,Line Item APG Payment,1775,1782,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,1783,1790,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,1791,1798,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,1799,1806,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,1807,1814,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,1815,1819,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,1820,1828,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,1829,1837,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,1838,1843,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,1844,1845,2,A/N,Line Item Payment Action
,,Line Item Paid Units,1846,1852,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,1853,1854,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,1855,1862,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,1863,1870,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,1871,1878,8,NUM,Visit Existing Payment
,,Visit Blended Payment,1879,1886,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,1887,1894,8,NUM,Visit Add-on Payment
,,Visit Payment,1895,1902,8,NUM,Visit Payment
,,Visit Non-transition Payment,1903,1910,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,1911,1919,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,1920,1928,9,NUM,Visit Full APG Weight
"15, 26, 37, 48, 59, 70, 81, 92,",15,Revenue Code,1929,1932,4,A/N,NUBC Revenue Code
"103, 114, 125, 136, 147, 158,",,Type of Revenue Code,1933,1933,1,A/N,Revenue Type
"169, 180, 191, 202, 213, 224,",,Procedure Code; CPT-4/HCPC,1934,1938,5,A/N,CPT-4/HCPCS Code
"235, 246, 257, 268, 279, 290,",,Procedure Code Modifier 1,1939,1940,2,A/N,Code Modifier 1
"301, 312, 323, 334, 345, 356,",,Procedure Code Modifier 2,1941,1942,2,A/N,Code Modifier 2
"367, 378, 389, 400, 411, 422,",,Charge of Service,1943,1952,10,NUM,Total Charge 
"433, 444, 455, 466, 477, 488,",,Type of Unit,1953,1954,2,A/N,Unit Type
"499, 510, 521, 532, 543, 554,",,Quantity,1955,1962,8,NUM,Unit Quantity
"565, 576, 587, 598, 609, 620,",,Non-Covered Charge of Service,1963,1972,10,NUM,Non-covered Charge
"631, 642, 653, 664, 675, 686,",,Service From Date,1973,1978,6,A/N,Service From Date
"697, 708, 719, 730, 741, 752,",,Filler,1979,1980,2,A/N,
"763, 774, 785, 796, 807, 818,",,Pre-visit Procedure Indicator,1981,1981,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"829, 840, 851, 862, 873, 884,",R,Line item number,1982,1984,3,A/N,Line item number
"895, 906, 917, 928, 939, 950,",,Visit ID,1985,1987,3,A/N,Visit ID
"961, 972, 983, 994",,Lines in Visit,1988,1990,3,A/N,Lines in Visit
,,Visit Date,1991,1996,6,A/N,Visit Date
,,Filler,1997,1998,2,A/N,
,,Visit Processed Flag,1999,1999,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,2000,2009,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,2010,2011,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,2012,2018,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,2019,2023,5,A/N,Final APG Assignment
,,Final APG Type,2024,2025,2,A/N,Final APG Type
,,Final APG Category,2026,2027,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,2028,2028,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,2029,2029,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,2030,2030,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,2031,2031,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,2032,2033,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,2034,2034,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,2035,2035,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,2036,2036,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,2037,2037,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,2038,2039,2,A/N,Line Item Action Flag
,Y,Item ID number,2040,2042,3,A/N,Item ID number
,,Line Item APG Payment,2043,2050,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,2051,2058,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,2059,2066,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,2067,2074,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,2075,2082,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,2083,2087,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,2088,2096,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,2097,2105,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,2106,2111,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,2112,2113,2,A/N,Line Item Payment Action
,,Line Item Paid Units,2114,2120,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,2121,2122,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,2123,2130,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,2131,2138,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,2139,2146,8,NUM,Visit Existing Payment
,,Visit Blended Payment,2147,2154,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,2155,2162,8,NUM,Visit Add-on Payment
,,Visit Payment,2163,2170,8,NUM,Visit Payment
,,Visit Non-transition Payment,2171,2178,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,2179,2187,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,2188,2196,9,NUM,Visit Full APG Weight
"16, 27, 38, 49, 60, 71, 82, 93,",16,Revenue Code,2197,2200,4,A/N,NUBC Revenue Code
"104, 115, 126, 137, 148, 159,",,Type of Revenue Code,2201,2201,1,A/N,Revenue Type
"170, 181, 192, 203, 214, 225,",,Procedure Code; CPT-4/HCPC,2202,2206,5,A/N,CPT-4/HCPCS Code
"235, 246, 257, 268, 279, 290,",,Procedure Code Modifier 1,2207,2208,2,A/N,Code Modifier 1
"301, 312, 323, 334, 345, 356,",,Procedure Code Modifier 2,2209,2210,2,A/N,Code Modifier 2
"367, 378, 389, 400, 411, 422,",,Charge of Service,2211,2220,10,NUM,Total Charge 
"433, 444, 455, 466, 477, 488,",,Type of Unit,2221,2222,2,A/N,Unit Type
"499, 510, 521, 532, 543, 554,",,Quantity,2223,2230,8,NUM,Unit Quantity
"565, 576, 587, 598, 609, 620,",,Non-Covered Charge of Service,2231,2240,10,NUM,Non-covered Charge
"631, 642, 653, 664, 675, 686,",,Service From Date,2241,2246,6,A/N,Service From Date
"697, 708, 719, 730, 741, 752,",,Filler,2247,2248,2,A/N,
"763, 774, 785, 796, 807, 818,",,Pre-visit Procedure Indicator,2249,2249,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"829, 840, 851, 862, 873, 884,",R,Line item number,2250,2252,3,A/N,Line item number
"895, 906, 917, 928, 939, 950,",,Visit ID,2253,2255,3,A/N,Visit ID
"961, 972, 983, 994",,Lines in Visit,2256,2258,3,A/N,Lines in Visit
,,Visit Date,2259,2264,6,A/N,Visit Date
,,Filler,2265,2266,2,A/N,
,,Visit Processed Flag,2267,2267,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,2268,2277,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,2278,2279,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,2280,2286,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,2287,2291,5,A/N,Final APG Assignment
,,Final APG Type,2292,2293,2,A/N,Final APG Type
,,Final APG Category,2294,2295,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,2296,2296,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,2297,2297,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,2298,2298,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,2299,2299,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,2300,2301,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,2302,2302,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,2303,2303,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,2304,2304,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,2305,2305,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,2306,2307,2,A/N,Line Item Action Flag
,Y,Item ID number,2308,2310,3,A/N,Item ID number
,,Line Item APG Payment,2311,2318,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,2319,2326,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,2327,2334,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,2335,2342,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,2343,2350,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,2351,2355,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,2356,2364,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,2365,2373,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,2374,2379,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,2380,2381,2,A/N,Line Item Payment Action
,,Line Item Paid Units,2382,2388,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,2389,2390,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,2391,2398,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,2399,2406,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,2407,2414,8,NUM,Visit Existing Payment
,,Visit Blended Payment,2415,2422,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,2423,2430,8,NUM,Visit Add-on Payment
,,Visit Payment,2431,2438,8,NUM,Visit Payment
,,Visit Non-transition Payment,2439,2446,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,2447,2455,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,2456,2464,9,NUM,Visit Full APG Weight
"17, 28, 39, 50, 61, 72, 83, 94,",17,Revenue Code,2465,2468,4,A/N,NUBC Revenue Code
"105, 116, 127, 138, 149, 160,",,Type of Revenue Code,2469,2469,1,A/N,Revenue Type
"171, 182, 193, 204, 215, 226,",,Procedure Code; CPT-4/HCPC,2470,2474,5,A/N,CPT-4/HCPCS Code
"237, 248, 259, 270, 281, 292,",,Procedure Code Modifier 1,2475,2476,2,A/N,Code Modifier 1
"303, 314, 325, 336, 347, 358,",,Procedure Code Modifier 2,2477,2478,2,A/N,Code Modifier 2
"369, 380, 391, 402, 413, 424,",,Charge of Service,2479,2488,10,NUM,Total Charge 
"435, 446, 457, 468, 479, 490,",,Type of Unit,2489,2490,2,A/N,Unit Type
"501, 512, 523, 534, 545, 556,",,Quantity,2491,2498,8,NUM,Unit Quantity
"567, 578, 589, 600, 611, 622,",,Non-Covered Charge of Service,2499,2508,10,NUM,Non-covered Charge
"633, 644, 655, 666, 677, 688,",,Service From Date,2509,2514,6,A/N,Service From Date
"699, 710, 721, 732, 743, 754,",,Filler,2515,2516,2,A/N,
"765, 776, 787, 798, 809, 820,",,Pre-visit Procedure Indicator,2517,2517,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"831, 842, 853, 864, 875, 886,",R,Line item number,2518,2520,3,A/N,Line item number
"897, 908, 919, 930, 941, 952,",,Visit ID,2521,2523,3,A/N,Visit ID
"963, 974, 985, 996",,Lines in Visit,2524,2526,3,A/N,Lines in Visit
,,Visit Date,2527,2532,6,A/N,Visit Date
,,Filler,2533,2534,2,A/N,
,,Visit Processed Flag,2535,2535,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,2536,2545,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,2546,2547,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,2548,2554,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,2555,2559,5,A/N,Final APG Assignment
,,Final APG Type,2560,2561,2,A/N,Final APG Type
,,Final APG Category,2562,2563,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,2564,2564,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,2565,2565,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,2566,2566,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,2567,2567,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,2568,2569,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,2570,2570,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,2571,2571,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,2572,2572,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,2573,2573,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,2574,2575,2,A/N,Line Item Action Flag
,Y,Item ID number,2576,2578,3,A/N,Item ID number
,,Line Item APG Payment,2579,2586,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,2587,2594,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,2595,2602,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,2603,2610,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,2611,2618,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,2619,2623,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,2624,2632,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,2633,2641,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,2642,2647,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,2648,2649,2,A/N,Line Item Payment Action
,,Line Item Paid Units,2650,2656,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,2657,2658,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,2659,2666,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,2667,2674,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,2675,2682,8,NUM,Visit Existing Payment
,,Visit Blended Payment,2683,2690,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,2691,2698,8,NUM,Visit Add-on Payment
,,Visit Payment,2699,2706,8,NUM,Visit Payment
,,Visit Non-transition Payment,2707,2714,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,2715,2723,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,2724,2732,9,NUM,Visit Full APG Weight
"18, 29, 40, 51, 62, 73, 84, 95,",18,Revenue Code,2733,2736,4,A/N,NUBC Revenue Code
"106, 117, 128, 139, 150, 161,",,Type of Revenue Code,2737,2737,1,A/N,Revenue Type
"172, 183, 194, 205, 216, 227,",,Procedure Code; CPT-4/HCPC,2738,2742,5,A/N,CPT-4/HCPCS Code
"238, 249, 260, 271, 282, 293,",,Procedure Code Modifier 1,2743,2744,2,A/N,Code Modifier 1
"304, 315, 326, 337, 348, 359,",,Procedure Code Modifier 2,2745,2746,2,A/N,Code Modifier 2
"370, 381, 392, 403, 414, 425,",,Charge of Service,2747,2756,10,NUM,Total Charge 
"436, 447, 458, 469, 480, 491,",,Type of Unit,2757,2758,2,A/N,Unit Type
"502, 513, 524, 535, 546, 557,",,Quantity,2759,2766,8,NUM,Unit Quantity
"568, 579, 590, 601, 612, 623,",,Non-Covered Charge of Service,2767,2776,10,NUM,Non-covered Charge
"634, 645, 656, 667, 678, 689,",,Service From Date,2777,2782,6,A/N,Service From Date
"700, 711, 722, 733, 744, 755,",,Filler,2783,2784,2,A/N,
"766, 777, 788, 799, 810, 821,",,Pre-visit Procedure Indicator,2785,2785,1,A/N,"Indicates if Procedure occurred before, on, or after Date of Admission"
"832, 843, 854, 865, 876, 887,",R,Line item number,2786,2788,3,A/N,Line item number
"898, 909, 920, 931, 942, 953,",,Visit ID,2789,2791,3,A/N,Visit ID
"964, 975, 986, 997",,Lines in Visit,2792,2794,3,A/N,Lines in Visit
,,Visit Date,2795,2800,6,A/N,Visit Date
,,Filler,2801,2802,2,A/N,
,,Visit Processed Flag,2803,2803,1,A/N,Visit Processed Flag
,,Visit Processed Warnings/ Messages,2804,2813,10,A/N,Visit Processed Warnings/ Messages
,,Overall Visit Type,2814,2815,2,A/N,Overall Visit Type
,,Medical Visit Diagnosis,2816,2822,7,A/N,Medical Visit Diagnosis
,S,Final APG Assignment,2823,2827,5,A/N,Final APG Assignment
,,Final APG Type,2828,2829,2,A/N,Final APG Type
,,Final APG Category,2830,2831,2,A/N,Final APG Category
,,Multiple Significant Procedure (SP) Discounting Flag,2832,2832,1,A/N,Multiple Significant Procedure (SP) Discounting Flag
,,Repeat Ancillary Discounting Flag,2833,2833,1,A/N,Repeat Ancillary Discounting Flag
,,Bilateral Discounting Flag,2834,2834,1,A/N,Bilateral Discounting Flag
,,Terminated Procedure Discounting Flag,2835,2835,1,A/N,Terminated Procedure Discounting Flag
,,Line Item Unassigned Flag,2836,2837,2,A/N,Line Item Unassigned Flag
,,Packaged Per Diem Flag,2838,2838,1,A/N,Packaged Per Diem Flag
,,Packaging Flag,2839,2839,1,A/N,Packaging Flag
,,Same Significant Procedure (SP) Consolidation Flag,2840,2840,1,A/N,Same Significant Procedure (SP) Consolidation Flag
,,Clinical Significant Procedure (SP) Consolidation Flag,2841,2841,1,A/N,Clinical Significant Procedure (SP) Consolidation Flag
,,Line Item Action Flag,2842,2843,2,A/N,Line Item Action Flag
,Y,Item ID number,2844,2846,3,A/N,Item ID number
,,Line Item APG Payment,2847,2854,8,NUM,Line Item APG Payment
,,Line Item Existing Payment,2855,2862,8,NUM,Line Item Existing Payment
,,Line Item Blended Payment,2863,2870,8,NUM,Line Item Blended Payment
,,Line Item Add-on Payment,2871,2878,8,NUM,Line Item Add-on Payment
,,Line Item Total Payment,2879,2886,8,NUM,Line Item Total Payment
,,Line Item Blend Percent,2887,2891,5,NUM,Line Item Blend Percent
,,Line Item Adjusted APG Weight,2892,2900,9,NUM,Line Item Adjusted APG Weight
,,Line Item Full APG Weight,2901,2909,9,NUM,Line Item Full APG Weight
,,Line Item Payment Percent,2910,2915,6,NUM,Line Item Payment Percent
,,Line Item Payment Action,2916,2917,2,A/N,Line Item Payment Action
,,Line Item Paid Units,2918,2924,7,A/N,Line Item Paid Units
,,Line Item Payment Adjustment Flag,2925,2926,2,A/N,Line Item Payment Adjustment Flag
,,Visit APG Payment,2927,2934,8,NUM,Visit APG Payment
,,Visit Transition APG Payment,2935,2942,8,NUM,Visit Transition APG Payment
,,Visit Existing Payment,2943,2950,8,NUM,Visit Existing Payment
,,Visit Blended Payment,2951,2958,8,NUM,Visit Blended Payment
,,Visit Add-on Payment,2959,2966,8,NUM,Visit Add-on Payment
,,Visit Payment,2967,2974,8,NUM,Visit Payment
,,Visit Non-transition Payment,2975,2982,8,NUM,Visit Non-transition Payment
,,Visit Adjusted APG Weight,2983,2991,9,NUM,Visit Adjusted APG Weight
,,Visit Full APG Weight,2992,3000,9,NUM,Visit Full APG Weight
,,Reserved ,3001,3200,200,,
Encrypted Identifers,8,Encrypted Service From Date,3201,3222,22,,
Service,,Encrypted Visit Date,3223,3244,22,,
,9,Encrypted Service From Date,3245,3266,22,,
,,Encrypted Visit Date,3267,3288,22,,
,10,Encrypted Service From Date,3289,3310,22,,
,,Encrypted Visit Date,3311,3332,22,,
,11,Encrypted Service From Date,3333,3354,22,,
,,Encrypted Visit Date,3355,3376,22,,
,12,Encrypted Service From Date,3377,3398,22,,
,,Encrypted Visit Date,3399,3420,22,,
,13,Encrypted Service From Date,3421,3442,22,,
,,Encrypted Visit Date,3443,3464,22,,
,14,Encrypted Service From Date,3465,3486,22,,
,,Encrypted Visit Date,3487,3508,22,,
,15,Encrypted Service From Date,3509,3530,22,,
,,Encrypted Visit Date,3531,3552,22,,
,16,Encrypted Service From Date,3553,3574,22,,
,,Encrypted Visit Date,3575,3596,22,,
,17,Encrypted Service From Date,3597,3618,22,,
,,Encrypted Visit Date,3619,3640,22,,
,18,Encrypted Service From Date,3641,3662,22,,
,,Encrypted Visit Date,3663,3684,22,,
,,Reserved ,3685,4234,550,,
